location,address,url,code,coords
Aberdeen-Union Square,"Union Square, Guild St, Aberdeen AB11 5RG",https://www.cineworld.co.uk/cinemas/Aberdeen-Union-Square/074#/buy-tickets-by-cinema?in-cinema=074&at=2023-04-14&view-mode=list,74,"57.1430256, -2.0966372"
Aldershot,"Westgate, Unit 5 Princes Way, Aldershot GU11 1WG",https://www.cineworld.co.uk/cinemas/Aldershot/080#/buy-tickets-by-cinema?in-cinema=080&at=2023-04-14&view-mode=list,80,
Ashford,"Eureka Entertainment Centre, Rutherford Rd, Ashford TN25 4BN",https://www.cineworld.co.uk/cinemas/Ashford/035#/buy-tickets-by-cinema?in-cinema=035&at=2023-04-14&view-mode=list,35,
Ashton-under-Lyne,"Fold Way, Ashton Mass Leisure Park, Lord Sheldon Way, Ashton-under-Lyne OL7 0PG",https://www.cineworld.co.uk/cinemas/Ashton-under-Lyne/068#/buy-tickets-by-cinema?in-cinema=068&at=2023-04-14&view-mode=list,68,
Basildon,"Festival Way, Festival Leisure Park, Basildon SS14 3WB",https://www.cineworld.co.uk/cinemas/Basildon/100#/buy-tickets-by-cinema?in-cinema=100&at=2023-04-14&view-mode=list,100,"51.5832169, 0.4641197"
Bedford,"Aspects Leisure Park, Newnham Ave, Bedford MK41 9LN",https://www.cineworld.co.uk/cinemas/Bedford/010#/buy-tickets-by-cinema?in-cinema=010&at=2023-04-14&view-mode=list,10,"52.1327783, -0.4450384"
Belfast,"The Odyssey Arena, 2 Queens Quay, Belfast BT3 9QQ",https://www.cineworld.co.uk/cinemas/Belfast/117#/buy-tickets-by-cinema?in-cinema=117&at=2023-04-14&view-mode=list,117,
Birmingham-Broad Street,"181 Broad St, Birmingham B15 1DA",https://www.cineworld.co.uk/cinemas/Birmingham-Broad-Street/044#/buy-tickets-by-cinema?in-cinema=044&at=2023-04-14&view-mode=list,44,"52.4741686, -1.9156503"
Birmingham-NEC,"Resorts World, Pendigo Way, Marston Green, Birmingham B40 1PU",https://www.cineworld.co.uk/cinemas/Birmingham-NEC/090#/buy-tickets-by-cinema?in-cinema=090&at=2023-04-14&view-mode=list,90,"52.44753765, -1.7174588650305407"
Boldon Tyne and Wear,"Boldon Leisure Park, Abingdon Way, Boldon Colliery NE35 9PB",https://www.cineworld.co.uk/cinemas/Boldon-Tyne-and-Wear/024#/buy-tickets-by-cinema?in-cinema=024&at=2023-04-14&view-mode=list,24,
Bolton,"The Valley, 15 Eagley Brook Way, Bolton BL1 8TS",https://www.cineworld.co.uk/cinemas/Bolton/032#/buy-tickets-by-cinema?in-cinema=032&at=2023-04-14&view-mode=list,32,
Bracknell,"2 Eagle Ln, Bracknell RG12 1BG",https://www.cineworld.co.uk/cinemas/Bracknell/107#/buy-tickets-by-cinema?in-cinema=107&at=2023-04-14&view-mode=list,107,"51.4174815, -0.7510138331893573"
Bradford,"Leisure Exchange, Vicar Ln, Bradford BD1 5LD",https://www.cineworld.co.uk/cinemas/Bradford/058#/buy-tickets-by-cinema?in-cinema=058&view-mode=list,58,"53.7914378, -1.747419"
Braintree,"Freeport Leisure, Charter Way, Braintree CM77 8YH",https://www.cineworld.co.uk/cinemas/Braintree/061#/buy-tickets-by-cinema?in-cinema=061&at=2023-04-14&view-mode=list,61,"51.868029750000005, 0.5723486343720743"
Brighton,"Brighton Marina, Brighton and Hove, Brighton BN2 5UF",https://www.cineworld.co.uk/cinemas/Brighton/014#/buy-tickets-by-cinema?in-cinema=014&at=2023-04-14&view-mode=list,14,"50.811515299999996, -0.10017127900997742"
Bristol,"Hengrove Leisure Park, Hengrove Way, Bristol BS14 0HR",https://www.cineworld.co.uk/cinemas/Bristol/072#/buy-tickets-by-cinema?in-cinema=072&at=2023-04-14&view-mode=list,72,"51.417457600000006, -2.5870894968501696"
Broughton,"Broughton shopping park, Chester Rd, Broughton, Bretton, Chester CH4 0DE",https://www.cineworld.co.uk/cinemas/Broughton/089#/buy-tickets-by-cinema?in-cinema=089&at=2023-04-14&view-mode=list,89,"53.169380950000004, -2.976731306519065"
Burton upon Trent,"Middleway Retail Park Guild Street, Burton-on-Trent DE14 1NQ",https://www.cineworld.co.uk/cinemas/Burton-upon-Trent/047#/buy-tickets-by-cinema?in-cinema=047&at=2023-04-14&view-mode=list,47,
Bury St Edmunds,"Parkway, Bury Saint Edmunds IP33 3BA",https://www.cineworld.co.uk/cinemas/Bury-St-Edmunds/070#/buy-tickets-by-cinema?in-cinema=070&at=2023-04-14&view-mode=list,70,
Cardiff,"Mary Ann St, Cardiff CF10 2EN",https://www.cineworld.co.uk/cinemas/Cardiff/055#/buy-tickets-by-cinema?in-cinema=055&at=2023-04-14&view-mode=list,55,"51.4789733, -3.17295"
Castleford,"Xscape, Colorado Way, Castleford WF10 4TA",https://www.cineworld.co.uk/cinemas/Castleford/064#/buy-tickets-by-cinema?in-cinema=064&at=2023-04-14&view-mode=list,64,"53.7103518, -1.3411796"
Cheltenham,"The Brewery Quarter, Oxford Passage, St Margaret's Rd, Cheltenham GL50 4FA",https://www.cineworld.co.uk/cinemas/Cheltenham/069#/buy-tickets-by-cinema?in-cinema=069&at=2023-04-14&view-mode=list,69,
Chichester,"Chichester Gate, Chichester PO19 8EL",https://www.cineworld.co.uk/cinemas/Chichester/063#/buy-tickets-by-cinema?in-cinema=063&at=2023-04-14&view-mode=list,63,"50.83024575, -0.7845680694352282"
Crawley,"Crawley Leisure Park, London Rd, Crawley RH10 8LR",https://www.cineworld.co.uk/cinemas/Crawley/034#/buy-tickets-by-cinema?in-cinema=034&at=2023-04-14&view-mode=list,34,"51.1194396, -0.1887828"
Dalton Park,"Dalton Park, Murton, Seaham SR7 9HU",https://www.cineworld.co.uk/cinemas/Dalton-Park/096#/buy-tickets-by-cinema?in-cinema=096&at=2023-04-14&view-mode=list,96,"54.8140381, -1.37654385"
Didcot,"27 Station Rd, Didcot OX11 7NE",https://www.cineworld.co.uk/cinemas/Didcot/071#/buy-tickets-by-cinema?in-cinema=071&at=2023-04-14&view-mode=list,71,"51.6073997, -1.2404371315819036"
Didsbury,"Parrs Wood Entertainment Centre, Wilmslow Rd, Didsbury, Manchester M20 5PG",https://www.cineworld.co.uk/cinemas/Didsbury/051#/buy-tickets-by-cinema?in-cinema=051&at=2023-04-14&view-mode=list,51,
Dover,"Unit 1, St James Retail & Leisure Park, St James St, Dover CT16 1QD",https://www.cineworld.co.uk/cinemas/Dover/099#/buy-tickets-by-cinema?in-cinema=099&at=2023-04-14&view-mode=list,99,
Dundee,"Camperdown Leisure Park, Kingsway W, Dundee DD2 4TF",https://www.cineworld.co.uk/cinemas/Dundee/036#/buy-tickets-by-cinema?in-cinema=036&at=2023-04-14&view-mode=list,36,
Eastbourne at The Beacon,"The Beacon Shopping Centre, 37 Terminus Rd, Eastbourne BN21 3NW",https://www.cineworld.co.uk/cinemas/Eastbourne-at-The-Beacon/113#/buy-tickets-by-cinema?in-cinema=113&at=2023-04-14&view-mode=list,113,
